,SOLUSDT,LTCUSDT,Spread,Zscore
107,172.519,97.88301135,-0.7339300895000065,-0.06982525416382357
108,172.27597072,97.75,-0.7415292800000088,-0.18563700278322037
109,169.901,96.29,-0.5322999999999922,-0.0784201999292455
110,171.51,97.31402965,-0.7358324804999938,-0.35717345527301003
111,171.20295992,97.51,-1.3897400799999957,-1.0235328742690117
112,171.74565969,97.72,-1.2187403100000154,-0.8492404055451337
113,172.675,97.88,-0.5725999999999942,-0.2422119864704134
114,172.89298975,97.52362141,0.2761798542999827,0.5557701684936676
115,170.833,97.12829648,-1.084084769599997,-0.8387638058291137
116,171.219,96.59,0.2546999999999855,0.4814496882620773
117,169.97091345,96.6,-1.0110865499999875,-0.8553634275295335
118,170.302,96.67814898,-0.818323694600025,-0.7188441914525665
119,165.646,95.20711253,-2.8705891781000332,-2.4404642176449687
120,165.96446063,95.37,-2.840439370000013,-2.0684934632721776
121,169.03834344,95.9764259,-0.8399304029999826,-0.25982758852511717
122,168.04617048,95.78594505,-1.4949522584999784,-0.814723227832932
123,171.671,96.74,0.44120000000000914,1.0875173690265718
124,171.16326651,96.45,0.44676651000000334,1.1611665166895486
125,168.888,95.4,0.030000000000001137,0.811244174257741
126,171.37971182,96.38,0.7871118200000069,1.5549515118186628
127,171.166,95.91,1.405300000000011,1.9171977842247534
128,172.75298627,96.46,2.018786270000021,2.0841268414347507
129,174.09360049,97.04525557,2.3234981310999956,1.9771988524929438
130,173.41961198,96.79,2.1013119799999913,1.6012309335461077
131,172.328,96.67,1.2221000000000117,0.9149918521978282
132,171.50928794,96.62,0.491887939999998,0.36791420208806036
133,172.716,97.11385375,0.8244788625000012,0.5342122596191781
134,172.806,97.33659641,0.5202243543000122,0.28861233125263125
135,173.751,97.09870519,1.8862918136999838,1.1419266729166604
136,173.903,97.30535546,1.6725208357999861,0.9082358687193984
137,174.779,97.75300964,1.7561729371999775,0.8968276828319046
138,174.5610037,98.01779061,1.0695143202999873,0.39055933309456115
139,174.82155286,98.06959558,1.2383686834000116,0.44429446174142523
140,173.13,96.99163032,1.454814333599984,0.5299040527602947
141,172.46368041,96.67842127,1.3428747620999957,0.3750947612339339
142,170.666,96.03,0.6928999999999803,-0.4254028793017273
143,171.86510644,96.81,0.5114064400000018,-0.9936171870558618
144,172.981,95.97,3.1141000000000076,2.4314452295566054
145,173.576,95.46542857,4.602191431099982,3.0570431367393183
146,173.53,96.17,3.309100000000001,1.6102229076809147
147,174.14,95.91,4.379300000000001,2.1821781658496873
148,174.865,97.54348867,2.213025054100001,0.31230842561595423
149,175.06073107,97.97265231,1.6491364812999905,-0.15126115503483856
150,174.76416702,98.58,0.2775670199999922,-1.1912163798646453
151,174.48365227,99.47,-1.5782477300000153,-2.218320603102991
152,172.71521109,98.7897052,-2.142567114000002,-2.174588296886184
153,172.883,98.39,-1.2673000000000059,-1.500531593493108
154,172.49294709,98.85,-2.4715529099999856,-1.902960964355944
155,173.471,99.17,-2.059899999999999,-1.5246119647136844
156,172.66563374,98.5634635,-1.7916966549999813,-1.2565153834144986
157,173.223,98.17,-0.5378999999999792,-0.6079410330522619
158,174.23680496,98.42628566,0.022279341799986696,-0.30572964240326556
159,174.5610971,98.48329274,0.24566895020001311,-0.18139676745462818
160,175.808,98.39964658,1.6406255533999854,0.46839891530308586
161,174.42858578,98.77953673,-0.4111942321000299,-0.4570101523986758
162,173.368,98.53,-1.0301000000000045,-0.6890575924455163
163,173.05479531,97.73714773,0.060043827899988855,-0.1660520662151359
164,172.51516573,97.43,0.06406572999998161,-0.15414721952647117
165,172.237,97.58,-0.4796000000000049,-0.34161758396650815
166,172.775,97.89886386,-0.5059890322000058,-0.27005827594004506
167,169.8,96.79268203,-1.523047193099984,-0.7684773665501826
168,167.85533392,95.43629532,-1.0669087964000141,-0.4360016394025793
169,167.57710263,96.09493014,-2.510923717799983,-1.4948261935069203
170,167.461,95.82,-2.140399999999971,-1.1220415856844528
171,166.131,94.85058695,-1.7545389014999841,-0.693645631876829
172,163.547,89.75,4.6895000000000095,3.3104279963463084
173,151.1531718,83.52547897,3.3130740231000004,2.0730381640707987
174,149.273,85.75,-2.5045000000000073,-1.0689541675220244
175,152.47841788,85.69975854,0.7898452641999825,0.6272289695972189
176,152.144,85.90309634,0.0955194782000035,0.19557394944159712
177,151.541,85.73,-0.20110000000002515,-0.01297428204823551
178,153.17099792,86.11491591,0.747596759299995,0.4908114060759656
179,151.64877083,85.57736641,0.17683228429999076,0.16259333666055278
180,146.39771081,83.29667942,-1.0374117634000015,-0.48898928763675176
181,149.36664723,85.18824436,-1.4165452871999946,-0.6318227666649869
182,151.789,85.70396855,0.09297566649999567,0.22110380461990245
183,153.56962583,86.25550441,0.8973830243000123,0.6263302086650651
184,152.65000411,85.53074368,1.2605877963999887,0.788181944532719
185,153.34,86.12,0.9076000000000022,0.5629452262250978
186,151.098,85.35,0.028500000000008185,0.06000373507231712
187,149.89616572,85.11,-0.7485342800000012,-0.3659651322111422
188,151.22888802,85.44,8.801999999263899e-05,0.010325086990881272
189,152.088,85.89089358,0.06111836339999854,0.014599414640023662
190,151.32339456,85.69,-0.34790544000000523,-0.29400036748498076
191,151.89337906,85.94107371,-0.22232140669999012,-0.287396110989205
192,151.13495565,85.8,-0.7310443499999906,-0.6625065647698081
193,149.84275289,85.59455852,-1.6596156903999884,-1.3624429535723166
194,149.014,85.5267516,-2.3683503319999772,-1.9930095534363863
