,OCEANUSDT,AGIXUSDT,Spread,Zscore
95,1.0631,1.02844774,0.0037988277999998488,-0.8091802837108519
96,1.06872817,1.0348,0.0028841699999999637,-0.8462824876378239
97,1.07042184,1.0402,-0.0009841600000000117,-1.2213190657003916
98,1.064,1.03514851,-0.0022029652999999705,-1.2448245817517718
99,1.0667,1.0369377,-0.001345831000000075,-1.0542658317333855
100,1.06722244,1.03607761,6.2501699999995e-05,-0.8006306467480291
101,1.07476204,1.0348,0.00891803999999996,0.5625912325109691
102,1.0771,1.0337,0.012388999999999761,1.2721354606251534
103,1.0798,1.0434,0.005098000000000047,0.17911794357168165
104,1.0868006,1.051,0.004270599999999902,0.1940448369203074
105,1.08799871,1.0555,0.0008337099999997655,-0.6987726280183589
106,1.0851,1.05413178,-0.0006557334000001358,-1.0228818341660566
107,1.07666487,1.04468235,0.0006420495000001303,-0.5925515611479657
108,1.0698,1.0366,0.0021020000000000483,-0.18701883360992094
109,1.0678,1.0435,-0.00700500000000015,-2.27905716058672
110,1.06257706,1.03940442,-0.008009492600000279,-2.143324213834878
111,1.0576,1.037,-0.010509999999999797,-2.2003791211271824
112,1.06123593,1.0464,-0.016556070000000034,-2.5643202048371925
113,1.03946279,1.0201,-0.011240209999999973,-1.5521352280765888
114,1.01883541,0.99746163,-0.008550068899999985,-1.0587457900225403
115,1.01291457,0.99653177,-0.01351315310000012,-1.5547472186829396
116,1.011,0.99288496,-0.011671508800000119,-1.182806327269265
117,1.00121253,0.97672058,-0.004809667399999773,-0.24107413694666943
118,0.94031677,0.9058,0.007342769999999943,1.2605733391898661
119,0.83444984,0.8063,0.0039608399999999655,0.7813853774127315
120,0.86771634,0.8314,0.011374339999999927,1.5286037106917187
121,0.87319214,0.85031208,-0.002629302400000033,-0.09476917828131445
122,0.87499806,0.84591072,0.003710018399999959,0.6974278663534549
123,0.87015765,0.8406714,0.004266108000000046,0.8674088722120532
124,0.8792,0.8472,0.006584000000000034,1.1457742359574354
125,0.86674315,0.83586748,0.005799645600000014,1.0268430050786492
126,0.8387,0.8042831,0.010288407,1.4560725005678405
127,0.84675826,0.82185463,0.0002479910999999557,0.24733211389785986
128,0.8545,0.83768011,-0.008310513299999989,-0.7180002240386357
129,0.86346184,0.8496,-0.011626160000000052,-1.0119633007682678
130,0.8666,0.84633628,-0.005126368400000025,-0.26983499873212324
131,0.8795963,0.85935939,-0.005543871699999925,-0.33436414476549636
132,0.87244989,0.85443979,-0.007623093700000139,-0.6019154543008044
